Materia,materia_codificada,semestre_pred,cupos_usados_estimados,cupos_usados_estimados_normalizado
ADMINISTRACION DE BASES DE DATOS,0,2,161.55288905024844,-0.5632193088531494
ADMINISTRACION DE REDES,1,2,-17.299053647416997,-1.3302912712097168
ADMINISTRACION DE SERVIDORES,2,2,87.62526380214427,-0.8802849650382996
ALGORITMIA,3,2,-20.849177986591656,-1.3455172777175903
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,152.82737969086924,-0.6006418466567993
BASES DE DATOS,5,2,-21.419032354974945,-1.3479613065719604
CLASIFICACION INTELIGENTE DE DATOS,6,2,153.12902560506686,-0.5993481278419495
CONTROL DE PROYECTOS,7,2,-25.14434897216728,-1.3639386892318726
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,158.52372756477632,-0.5762109756469727
ESTRUCTURAS DE DATOS I,9,2,-31.850936182395685,-1.392702341079712
ESTRUCTURAS DE DATOS II,10,2,-27.81551005451888,-1.3753949403762817
HIPERMEDIA,11,2,-29.301239522531432,-1.3817670345306396
INGENIERIA DE SOFTWARE I,12,2,27.474872701210643,-1.1382619142532349
INGENIERIA DE SOFTWARE II,13,2,147.78477168353004,-0.6222689151763916
MATEMATICA DISCRETA,14,2,-8.68947749311667,-1.2933659553527832
METODOS MATEMATICOS I,15,2,100.64263653467904,-0.824455201625824
METODOS MATEMATICOS II,16,2,173.2104578447658,-0.5132215619087219
MINERIA DE DATOS,17,2,146.56292853750713,-0.6275092363357544
PROGRAMACION,18,2,29.54340903666349,-1.1293902397155762
PROGRAMACION PARA INTERNET,19,2,79.4018027565356,-0.9155542850494385
SEGURIDAD DE LA INFORMACION,20,2,-2.059243319174925,-1.2649297714233398
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,6.786979996008085,-1.226989507675171
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,24.647281007930303,-1.1503890752792358
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-14.089418822079892,-1.3165255784988403
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,-0.6043385753130224,-1.2586898803710938
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,64.09796650216086,-0.9811903834342957
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,66.7692387647619,-0.9697336554527283
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,178.0811116988515,-0.49233198165893555
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,29.91853119819416,-1.1277813911437988
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,177.11798499322035,-0.49646270275115967
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,188.68455970235607,-0.44685521721839905
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,185.1638981292768,-0.46195486187934875
TEORIA DE LA COMPUTACION,32,2,20.254799509052987,-1.1692278385162354
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,187.08494691511328,-0.4537157416343689
